Done ,Category
Palate,Digestive System
"Internal anal sphincter, external anal sphincter",Digestive System
Internal organ,Digestive System
Mesentery,Digestive System
salivary glands,Digestive System
Stoma,Digestive System
Peritoneal cavity,Digestive System
Oral mucosa,Digestive System
Bowel,Digestive System
Oral epithelium,Digestive System
Parotid salivary gland,Digestive System
Periodontium,Digestive System
Periumbilical region,Digestive System
Pyloric sphincter,Digestive System
Pylorus,Digestive System
Retromolar area,Digestive System
Thyroid gland,Endocrine System
Parathyroid Gland,Endocrine System
Endocrine gland,Endocrine System
Thyroid,Endocrine System
Spleen,Immune System
Thymus,Immune System
Lymph Nodes,Immune System
lymph nodes of axilla,Immune System
lymph nodes of upper limb,Immune System
lymph nodes of head and neck,Immune System
lymph nodes of inguinal region,Immune System
lymph nodes of lower limbs,Immune System
Adenoids,Immune System
lymph nodes of Intrapelvic,Immune System
lymph nodes of Intrathoracic,Immune System
Lymph nodes of face,Immune System
Lymph nodes of head,Immune System
Lymph nodes of neck,Immune System
Abdominal lymph nodes,Immune System
Pelvic lymph nodes,Immune System
Mesenteric lymph nodes,Immune System
white blood cells,Immune System
Extranodal and solid organ sites,Immune System
Tonsils,Immune System
Lymphatic vessels,Immune System
Subcutaneous fat,Integumentary System
Back,Musculature System
Metatarsus,Musculature System
Lower Back,Musculature System
Trunk,Musculature System
Diaphragm,Musculature System
Hairs,Musculature System
Muscles,Musculature System
Face Muscles,Musculature System
Upper Body,Musculature System
Left Arm,Musculature System
Forearm,Musculature System
Muscles of Hand,Musculature System
Right Arm,Musculature System
Right hand,Musculature System
Lower Limbs,Musculature System
Left Thigh,Musculature System
Thigh,Musculature System
Left Foot / Ankle / Toes,Musculature System
Right Thigh,Musculature System
Adductor muscle of left thigh,Musculature System
Biceps,Musculature System
Broad Ligament,Musculature System
Bursa,Musculature System
Calf,Musculature System
Extensor tendons,Musculature System
Groin,Musculature System
Intercostal muscles,Musculature System
Quadriceps Muscle,Musculature System
Trunk (If Muscle),Musculature System
Psoas Muscle,Musculature System
Respiratory Muscles,Musculature System
Torso,Musculature System
Deltoids,Musculature System
Sacral region,Musculature System
Thoracic wall,Musculature System
Scalp,Musculature System
skin,Musculature System
Tibialis anterior,Musculature System
Tibialis posterior,Musculature System
Posterior tibialis tendon,Musculature System
feet,Musculature System
hands,Musculature System
Gluteus Maximus,Musculature System
Abdomen,Musculature System
Abdominal muscles,Musculature System
Abductor digiti minimi,Musculature System
Abductor hallucis,Musculature System
Abductor pollicis brevis,Musculature System
Achilles tendon,Musculature System
Adductor muscles,Musculature System
Adipose tissue,Musculature System
Ankle muscles,Musculature System
Anterior chest wall,Musculature System
Anterior Trunk,Musculature System
Arms,Musculature System
Axilla,Musculature System
Buttock,Musculature System
cheek,Musculature System
Chest,Musculature System
Chin,Musculature System
Connective tissue,Musculature System
Coracobrachialis,Musculature System
Epigastrium,Musculature System
Erector spinae muscles,Musculature System
Extensor Digiti Minimi,Musculature System
Extensor digitorum,Musculature System
Extensor Hallucis Brevis,Musculature System
Extensor Indicis,Musculature System
Extensor muscles,Musculature System
Extensor pollicis longus,Musculature System
External anal sphincter,Musculature System
External oblique muscle,Musculature System
Extraocular muscles,Musculature System
Face,Musculature System
Fascia,Musculature System
Hamstrings,Musculature System
Flexor hallucis longus muscle,Musculature System
Foot muscles,Musculature System
Forehead,Musculature System
Foreskin,Musculature System
Gastrocnemius,Musculature System
Soleus,Musculature System
Hand muscles,Musculature System
Shoulders,Musculature System
Hypothenar muscles,Musculature System
Iliopsoas,Musculature System
Interossei muscles,Musculature System
Lateral rectus muscle,Musculature System
Lateral thigh,Musculature System
Latissimus Dorsi,Musculature System
Left axilla,Musculature System
Masseter,Musculature System
Medial rectus muscle,Musculature System
Muscles and tendons of the Ankle,Musculature System
Muscles and tendons of the foot,Musculature System
Muscles and Tendons of the Hand,Musculature System
Muscles and tendons of the lower leg,Musculature System
Muscles and tendons of the wrist and hand,Musculature System
Muscles of arms and legs,Musculature System
Muscles of Upper Limb,Musculature System
Muscles of the forearm,Musculature System
Muscles of the head,Musculature System
Muscles of the arm,Musculature System
Nape of the neck,Musculature System
Neoplasm,Musculature System
Upper extremity,Musculature System
upper limb,Musculature System
Trapezius,Musculature System
Triceps,Musculature System
Sternocleidomastoid,Musculature System
Skeletal muscles,Musculature System
Perianal skin,Musculature System
Palms and Soles,Musculature System
Calf muscles,Musculature System
legs,Musculature System
Right leg,Musculature System
Wrist,Musculature System
Left wrist,Musculature System
Right wrist,Musculature System
Right shoulder,Musculature System
Left Shoulder,Musculature System
Lower extremities,Musculature System
Paraspinal muscles,Musculature System
Right foot,Musculature System
Supraspinatus,Musculature System
Supraspinatus muscle,Musculature System
Superior Oblique Muscle,Musculature System
Peroneal muscles,Musculature System
Pectoralis Major,Musculature System
Rectus abdominis,Musculature System
Right Axilla,Musculature System
Rotator Cuff,Musculature System
Left Superior Oblique Muscle,Musculature System
Left Upper Back,Musculature System
Right calf,Musculature System
Right Upper Arm,Musculature System
Right Elbow,Musculature System
Right pectoralis major,Musculature System
Right Pectoralis Major Muscle,Musculature System
Right Limb,Musculature System
Brachioradialis,Musculature System
Brachialis,Musculature System
Left Pectoralis Major Muscle,Musculature System
Left Rectus Abdominis,Musculature System
Levator ani muscles,Musculature System
Levator palpebrae superioris,Musculature System
Long head of biceps,Musculature System
Lumbrical muscle,Musculature System
Muscles of the right forearm,Musculature System
Muscles of the upper limb,Musculature System
Muscles of thigh,Musculature System
Papillary muscle,Musculature System
Pectoral muscles,Musculature System
Peroneal muscle group,Musculature System
Peroneal tendons,Musculature System
Peroneus Brevis Muscle,Musculature System
Peroneus Longus Muscle,Musculature System
Peroneus muscles,Musculature System
Pharyngeal muscles,Musculature System
Plantar fascia,Musculature System
Platysma,Musculature System
Pronator Teres,Musculature System
Radial collateral ligament,Musculature System
Rectus Femoris muscle,Musculature System
Right Achilles tendon,Musculature System
Right Ankle muscles and tendons,Musculature System
Right anterior chest wall,Musculature System
Right Back,Musculature System
Right buttock,Musculature System
Right cheek and temporomandibular joint,Musculature System
Right chest wall,Musculature System
Right external oblique muscle,Musculature System
Right hypothenar muscles,Musculature System
Right rotator cuff capsule,Musculature System
Sartorius,Musculature System
Spinal Cord,Nervous System
Brain,Nervous System
Hypothalamus,Nervous System
Pituitary Gland/ Anterior pituitary gland,Nervous System
Pineal Gland,Nervous System
Eye,Nervous System
Eyes-Side,Nervous System
Accessory Nerve,Nervous System
Acoustic nerve,Nervous System
Basal Ganglia,Nervous System
Cerebellar,Nervous System
Cerebrum,Nervous System
Cervicothoracic region,Nervous System
Cornea,Nervous System
Cranial Nerve,Nervous System
periocular area,Nervous System
Hemorrhage,Nervous System
Iris,Nervous System
anterior chamber,Nervous System
Lacrimal Gland,Nervous System
subclavian artery,Nervous System
Optic nerve,Nervous System
Macula,Nervous System
Pinna,Nervous System
Tympanic membrane,Nervous System
Olfactory nerve,Nervous System
optic disc,Nervous System
Meninges,Nervous System
Cerebral meninges,Nervous System
Spinal meninges,Nervous System
Ulnar Nerve,Nervous System
Tibial Nerve,Nervous System
Peripheral nerves,Nervous System
"Peripheral nerves of the head, face, and neck",Nervous System
Sacral Nerves,Nervous System
Optic nerves,Nervous System
Peripheral nerves of the upper limb,Nervous System
ears,Nervous System
right ear,Nervous System
left ear,Nervous System
Frontal Lobe,Nervous System
Abducens nerve,Nervous System
Amygdala,Nervous System
Broca's area,Nervous System
Cauda Equina,Nervous System
Cerebellum,Nervous System
Cochlea,Nervous System
peroneal nerve,Nervous System
Conjunctiva,Nervous System
Cutaneous sensory nerve,Nervous System
Digital nerve of fingers,Nervous System
External auditory canal,Nervous System
Facial nerve,Nervous System
Internal capsule,Nervous System
Lateral Femoral Cutaneous Nerve,Nervous System
Lateral plantar nerve,Nervous System
Left Abducens Nerve,Nervous System
cranial nerves,Nervous System
Vestibulocochlear nerves,Nervous System
Visual cortex,Nervous System
Visual Pathways,Nervous System
Medial longitudinal fasciculus,Nervous System
Medial Plantar Nerve,Nervous System
Median Nerve,Nervous System
Medulla oblongata,Nervous System
Motor nerves,Nervous System
Nerve,Nervous System
Oculomotor nerve,Nervous System
Trigeminal nerve,Nervous System
Thalamus,Nervous System
Radial nerve,Nervous System
Sciatic nerve,Nervous System
Suprachiasmatic nucleus,Nervous System
Sympathetic Nerves,Nervous System
Left oculomotor nerve,Nervous System
Left olfactory nerve,Nervous System
Left Sciatic Nerve,Nervous System
Lumbosacral plexus,Nervous System
Parietal lobe,Nervous System
Peripheral nerve,Nervous System
Pons,Nervous System
Prefrontal cortex,Nervous System
Right acoustic nerve,Nervous System
Right Cerebellum,Nervous System
Right cerebral hemisphere,Nervous System
Right Cranial Nerves,Nervous System
Right facial nerve,Nervous System
Right trochlear nerve,Nervous System
Episclera,Ocular System
Lacrimal apparatus,Ocular System
Lacrimal canaliculi,Ocular System
Lacrimal glands,Ocular System
Lacrimal passage,Ocular System
Lacrimal puncta,Ocular System
Lacrimal punctum,Ocular System
Lacrimal sac,Ocular System
lacrimal duct,Ocular System
Vitreous body,Ocular System
Vitreous humor,Ocular System
Meibomian glands,Ocular System
Nasolacrimal duct,Ocular System
kidneys,Renal System
Adrenal Gland,Renal System
ureter,Renal System
Bladder,Renal System
Bladder and Urethra,Renal System
external genital organs male,Renal System
Urinary Tract,Renal System
Right adrenal gland,Renal System
Left adrenal gland,Renal System
Adrenal medulla,Renal System
External stoma of urinary tract,Renal System
Membranous urethra,Renal System
Urinary sphincter,Renal System
Urinary Stoma,Renal System
Urachus,Renal System
Renal pelvis,Renal System
Retroperitoneum,Renal System
Lower urinary tract,Renal System
Retroperitoneal space,Renal System
the testes,Reproductive System
epididymis,Reproductive System
Prostate,Reproductive System
ovaries,Reproductive System
fallopian tube,Reproductive System
vagina,Reproductive System
cervix,Reproductive System
Breasts,Reproductive System
Clitoris,Reproductive System
Embryo,Reproductive System
Endometrium,Reproductive System
Labium majus,Reproductive System
Male Breast,Reproductive System
Urogenital tract,Reproductive System
Uterine adnexa,Reproductive System
Uterine tubes,Reproductive System
Paraurethral glands,Reproductive System
Placenta,Reproductive System
Seminal vesicle,Reproductive System
vulva,Reproductive System
Amnion,Reproductive System
Chorion,Reproductive System
Amniotic Membranes,Reproductive System
Amniotic sac,Reproductive System
Bartholin's gland,Reproductive System
Efferent ducts,Reproductive System
Endocervix,Reproductive System
Exocervix,Reproductive System
External female genital organs,Reproductive System
External genital organs,Reproductive System
Fetal membranes,Reproductive System
Fetus,Reproductive System
Gonads,Reproductive System
Hymen,Reproductive System
Inguinal canal,Reproductive System
Labia,Reproductive System
Uterus,Reproductive System
Umbilical cord,Reproductive System
Pubic area,Reproductive System
Seminal vesicles,Reproductive System
Ovary,Reproductive System
Perineum,Reproductive System
Left round ligament of the uterus,Reproductive System
Left Spermatic Cord,Reproductive System
Parametrium,Reproductive System
Prepuce,Reproductive System
Rectovaginal septum,Reproductive System
Right broad ligament,Reproductive System
Right male breast,Reproductive System
Round ligament of uterus,Reproductive System
Nose,Respiratory System
Sinus,Respiratory System
Throat,Respiratory System
Lungs,Respiratory System
Nasal Spectrum,Respiratory System
Right Lung,Respiratory System
Left Lung,Respiratory System
Pharynx,Respiratory System
Trachea,Respiratory System
Bronchi,Respiratory System
Bronchioles,Respiratory System
respiratory tract,Respiratory System
Alveoli,Respiratory System
Larynx,Respiratory System
Bronchus ,Respiratory System
Pleura,Respiratory System
Airway,Respiratory System
Epiglottis,Respiratory System
Eustachian tube,Respiratory System
Glottis,Respiratory System
Hypopharynx,Respiratory System
Vallecula,Respiratory System
Mediastinum,Respiratory System
Mucous membranes,Respiratory System
Nasal cavity,Respiratory System
Nasal mucosa,Respiratory System
Nasal passages,Respiratory System
Nasal septum,Respiratory System
Nasopharynx,Respiratory System
Nostril,Respiratory System
Thorax,Respiratory System
Subglottis,Respiratory System
Supraglottis,Respiratory System
Posterior mediastinum,Respiratory System
Posterior wall of nasopharynx,respiratory System
Respiratory passages,respiratory System
Right posterior thorax,respiratory System
Skelton,Skeletal System
Skull,Skeletal System
Sacrum,Skeletal System
Ribs,Skeletal System
Pelvis,Skeletal System
Femur,Skeletal System
Joints,Skeletal System
Patella,Skeletal System
Foot/Tarsals,Skeletal System
Humerus,Skeletal System
Right Hand/ Finger,Skeletal System
Left Hand/Finger,Skeletal System
Back wall of thorax,Skeletal System
Teeth,Skeletal System
Jaws/teeth,Skeletal System
Mandibular,Skeletal System
Clavicle,Skeletal System
Sternum,Skeletal System
Ulna,Skeletal System
Tibia,Skeletal System
Fibula,Skeletal System
Metatarsals,Skeletal System
Appendicular skeleton,Skeletal System
Base of fifth metacarpal bone,Skeletal System
Long bone,Skeletal System
Phalanx,Skeletal System
Metacarpal,Skeletal System
Calcaneus,Skeletal System
Carpus,Skeletal System
Chondrosternal joint,Skeletal System
Cuboid bone,Skeletal System
Facial Bones,Skeletal System
Orbit,Skeletal System
Entheses,Skeletal System
Sternoclavicular joint,Skeletal System
Distal Radius,Skeletal System
Great Toe,Skeletal System
Hamate bone,Skeletal System
Radius bone,Skeletal System
Acetabulum,Skeletal System
Scapula,Skeletal System
Talus,Skeletal System
Lumbosacral region,Skeletal System
Mastoid Bone ( Side View),Skeletal System
Articular cartilage,Skeletal System
Coccyx,Skeletal System
Temporal Bone (Side View),Skeletal System
Zygomatic bone,Skeletal System
Occipito-atlanto-axial region,Skeletal System
Right Femur,Skeletal System
Left Femur,Skeletal System
Left Patella,Skeletal System
Right patella,Skeletal System
Left humerus,Skeletal System
Right humerus,Skeletal System
Medial Epicondyle of Left Humerus,Skeletal System
Right Ulna,Skeletal System
Left Ulna,Skeletal System
Left Radius,Skeletal System
Right Radius,Skeletal System
Right Tibia,Skeletal System
Left Tibia,Skeletal System
Tibial tuberosity,Skeletal System
Left Fibula,Skeletal System
Right Fibula,Skeletal System
Left clavicle,Skeletal System
Right Clavicle,Skeletal System
Left Metatarsals,Skeletal System
knee,Skeletal System
right knee,Skeletal System
Left Knee,Skeletal System
Ankle,Skeletal System
right ankle ,Skeletal System
left ankle,Skeletal System
hand/fingers,Skeletal System
Jaw,Skeletal System
Mandible,Skeletal System
Acromioclavicular joint,Skeletal System
Acromion,Skeletal System
Alveolar bone,Skeletal System
Back of Hand,Skeletal System
Big toe,Skeletal System
hip,Skeletal System
Bone of limb,Skeletal System
Capitate bone,Skeletal System
Carpal Bone,Skeletal System
Carpometacarpal joint,Skeletal System
Cartilage,Skeletal System
Coracoclavicular ligament,Skeletal System
Costochondral joints,Skeletal System
Distal interphalangeal joint,Skeletal System
Distal phalanges,Skeletal System
Distal radioulnar joint,Skeletal System
Elbow,Skeletal System
Extremities,Skeletal System
Fontanelle,Skeletal System
Foot bones,Skeletal System
Front Wall of Thorax,Skeletal System
Growth plate,Skeletal System
head,Skeletal System
neck,Skeletal System
Heel,Skeletal System
Hook of hamate bone,Skeletal System
Ilium,Skeletal System
Intermediate cuneiform,Skeletal System
toe,Skeletal System
Ischium,Skeletal System
Joint,Skeletal System
Lateral Cuneiform,Skeletal System
Lateral meniscus,Skeletal System
calcaneal tuberosity,Skeletal System
coracoid process of scapula,Skeletal System
left elbow,Skeletal System
left feet,Skeletal System
Left forearm,Skeletal System
Left hand,Skeletal System
Left Hip,Skeletal System
lateral cuneiform bone,Skeletal System
Left Leg,Skeletal System
lower extremity stump,Skeletal System
lower leg,Skeletal System
Mastoid bone,Skeletal System
Maxilla,Skeletal System
Medial Collateral Ligament,Skeletal System
Medial cuneiform,Skeletal System
Medial malleolus,Skeletal System
Medial meniscus of the knee,Skeletal System
Medial phalanges of lesser toes,Skeletal System
Meniscus,Skeletal System
Metacarpals,Skeletal System
Metatarsophalangeal joint,Skeletal System
Midcarpal joint,Skeletal System
Nail,Skeletal System
Nasal bones,Skeletal System
Nasal septal cartilage,Skeletal System
Navicular Bone,Skeletal System
Occipital Bone,Skeletal System
Trochanteric bursa,Skeletal System
Triquetrum bone,Skeletal System
Trapezoid bone,Skeletal System
Trapezium,Skeletal System
Tibiofibular joint,Skeletal System
Shins,Skeletal System
Temporal Bone,Skeletal System
Temporomandibular joints,Skeletal System
Tarsometatarsal joints,Skeletal System
Phalanges of hand,Skeletal System
phalanges of feet,Skeletal System
lesser toe,Skeletal System
Second Metacarpal Bone,Skeletal System
Symphysis pubis,Skeletal System
Synovium and Tendon,Skeletal System
Superior tibiofibular joint,Skeletal System
Pisiform,Skeletal System
Right Thumb,Skeletal System
Lunate,Skeletal System
Pubis,Skeletal System
Bones of the Hand,Skeletal System
Right Hip,Skeletal System
Proximal interphalangeal joint,Skeletal System
Left talus,Skeletal System
Left Upper Arm,Skeletal System
Right forearm,Skeletal System
Right Metatarsal,Skeletal System
Right calcaneus,Skeletal System
Right Talus,Skeletal System
Right tarsal bones,Skeletal System
Right Scapula,Skeletal System
Bones and Joints of Limb,Skeletal System
Left occipital condyle,Skeletal System
Left radial head,Skeletal System
Left Radioulnar Joint,Skeletal System
Left scaphoid bone,Skeletal System
Left Scapula,Skeletal System
Left sternoclavicular joint,Skeletal System
Left Tarsal,Skeletal System
Left tarsometatarsal joint,Skeletal System
Left temporomandibular joint,Skeletal System
Left ulnohumeral joint,Skeletal System
Left zygomatic bone,Skeletal System
Lisfranc joint,Skeletal System
Patellofemoral joint,Skeletal System
Posterior Cruciate Ligament,Skeletal System
Pubic Symphysis,Skeletal System
Radial head,Skeletal System
Radial styloid process,Skeletal System
Radiocarpal Joint,Skeletal System
Radiohumeral joint,Skeletal System
Radioulnar joint,Skeletal System
Right acetabulum,Skeletal System
Right carpal bone,Skeletal System
Right Distal Radioulnar Joint,Skeletal System
Right mandibular condylar process,Skeletal System
Right Radial Head,Skeletal System
Right sternoclavicular joint,Skeletal System
Right temporomandibular joint,Skeletal System
Right third metacarpal bone,Skeletal System
Right triquetrum bone,Skeletal System
Sacroiliac and sacrococcygeal joints,Skeletal System
Entire Body,
