"Arteries and arterioles.,",Arteries,arterioles,,,,,,,,,,,,,
"Arteries, arterioles, and capillaries,",Arteries,arterioles,Capillaries,,,,,,,,,,,,
"Arteriovenous shunt,",Arteriovenous shunt,,,,,,,,,,,,,,
"Arteriovenous shunt.,",Arteriovenous shunt,,,,,,,,,,,,,,
"Artery,",Artery,,,,,,,,,,,,,,
"Artery of lower extremity,",Artery of lower extremity,,,,,,,,,,,,,,
"Articular cartilage,",Articular cartilage,,,,,,,,,,,,,,
"Ascending [right] colon,",colon,,,,,,,,,,,,,,
"Ascending colon,",colon,,,,,,,,,,,,,,
"Autonomic Nervous System,",eye,lips,lungs,heart,kidneys,small intestine,large intestine,bladder,ovaries,fallopian ube,uterus,cervix,vagina,,
"Autonomic nervous system,",eye,lips,lungs,heart,kidneys,small intestine,large intestine,bladder,ovaries,fallopian ube,uterus,cervix,vagina,,
"Autonomic nervous system.,",eye,lips,lungs,heart,kidneys,small intestine,large intestine,bladder,ovaries,fallopian ube,uterus,cervix,vagina,,
"Axilla,",Axilla,,,,,,,,,,,,,,
"Axilla and upper limb lymph nodes,",Lymph nodes of axilla,Lymph nodes of upper limb,,,,,,,,,,,,,
"Axillary Artery,",Axillary Artery,,,,,,,,,,,,,,
"Axillary artery,",Axillary artery,,,,,,,,,,,,,,
"Axillary vein,",Axillary vein,,,,,,,,,,,,,,
"B-cells,",B-cells,,,,,,,,,,,,,,
"Back,",Back,,,,,,,,,,,,,,
"Back Wall of Thorax,",Back Wall of Thorax,,,,,,,,,,,,,,
"Back of hand,",Hand,,,,,,,,,,,,,,
"Back of left hand,",muscles of hand,,,,,,,,,,,,,,
"Back of left hand.,",muscles of hand,,,,,,,,,,,,,,
"Back of right hand,",muscles of hand,,,,,,,,,,,,,,
"Back of right hand.,",muscles of hand,,,,,,,,,,,,,,
"Back of unspecified hand,",muscles of hand,,,,,,,,,,,,,,
"Back wall of thorax,",Back wall of thorax,,,,,,,,,,,,,,
"Basal Ganglia,",Basal Ganglia,,,,,,,,,,,,,,
"Base of fifth metacarpal bone,",Metacarpal,,,,,,,,,,,,,,
"Bathroom,",Bathroom,,,,,,,,,,,,,,
"Bedroom,",Bedroom,,,,,,,,,,,,,,
"Bedroom.,",Bedroom,,,,,,,,,,,,,,
"Behavior,",Behavior,,,,,,,,,,,,,,
"Biceps,",Biceps,,,,,,,,,,,,,,
"Biceps (upper arm),",Biceps,,,,,,,,,,,,,,
"Big Toe,",Big Toe,,,,,,,,,,,,,,
"Big toe,",Big toe,,,,,,,,,,,,,,
"Bilateral limbs,",Bilateral limbs,,,,,,,,,,,,,,
"Bilateral limbs.,",Bilateral limbs,,,,,,,,,,,,,,
"Bilateral lower extremities,",Bilateral lower extremities,,,,,,,,,,,,,,
"Bilateral upper extremities,",Bilateral upper extremities,,,,,,,,,,,,,,
"Bile Duct,",Bile Ducts,,,,,,,,,,,,,,
"Bile Ducts,",Bile Ducts,,,,,,,,,,,,,,
"Bile duct,",Bile ducts,,,,,,,,,,,,,,
"Bile duct.,",Bile ducts,,,,,,,,,,,,,,
"Bile ducts,",Bile ducts,,,,,,,,,,,,,,
"Biliary Tract,",Biliary Tract,,,,,,,,,,,,,,
"Biliary tract,",Biliary tract,,,,,,,,,,,,,,
"Birth canal,",Birth canal,,,,,,,,,,,,,,
"Bladder,",Bladder,,,,,,,,,,,,,,
"Bladder and Urethra,",Bladder,urethra,,,,,,,,,,,,,
"Bladder and urethra,",Bladder,urethra,,,,,,,,,,,,,
"Blood,",Blood,,,,,,,,,,,,,,
"Blood Cells,",Blood Cells,,,,,,,,,,,,,,
"Blood Sugar,",Blood Sugar,,,,,,,,,,,,,,
"Blood Vessel,",Blood Vessels,,,,,,,,,,,,,,
"Blood Vessels,",Blood Vessels,,,,,,,,,,,,,,
"Blood Vessels.,",Blood Vessels,,,,,,,,,,,,,,
"Blood and Immune System,",Blood,Bone Marrow,Thymus,Spleen,Lymph Nodes,Tonsils,Lymphatic Vessels,White Blood Cells,Adenoids,,,,,,
"Blood and blood products,",Blood,red blood cells,White Blood Cells,platelets,plasma,,,,,,,,,,
"Blood and blood products - Joints,",Blood,red blood cells,White Blood Cells,platelets,plasma,,,,,,,,,,
"Blood and blood-forming organs,",Blood,Bone Marrow,Spleen,Lymph Nodes,Thymus,Liver,,,,,,,,,
"Blood and blood-forming organs and certain disorders involving the immune mechanism.,",Blood,Bone Marrow,Spleen,Lymph Nodes,Thymus,Liver,,,,,,,,,
"Blood and bone marrow,",Blood,,,,,,,,,,,,,,
"Blood and bone marrow.,",Blood,bone marrow,,,,,,,,,,,,,
"Blood vessel,",Blood Vessels,,,,,,,,,,,,,,
"Blood vessel at ankle and foot level,",Blood vessel of ankle,Blood vessel of foot,,,,,,,,,,,,,
"Blood vessel at ankle and foot level.,",Blood vessel of ankle,Blood vessel of foot,,,,,,,,,,,,,
"Blood vessel at ankle and foot.,",Blood vessel of ankle,Blood vessel of foot,,,,,,,,,,,,,
"Blood vessel at hip and thigh level,",Blood vessel of hip,Blood vessel of thigh,,,,,,,,,,,,,
"Blood vessel at lower leg,",Blood vessel of lower leg,,,,,,,,,,,,,,
"Blood vessel at wrist and hand level of right arm,",Blood vessel of hand,blood vessel of arm,,,,,,,,,,,,,
"Blood vessels,",Blood vessels,,,,,,,,,,,,,,
"Blood vessels at abdomen, lower back and pelvis level.,",Blood vessels of abdomen,Blood vessels of lower back,Blood vessels of pelvis,,,,,,,,,,,,
"Blood vessels at ankle and foot level,",Blood vessel of ankle,Blood vessel of foot,,,,,,,,,,,,,
"Blood vessels at ankle and foot level, left leg.,",Blood vessel of ankle,Blood vessel of foot,Blood vessels of leg,,,,,,,,,,,,
"Blood vessels at ankle and foot level, right leg.,",Blood vessel of ankle,Blood vessel of foot,Blood vessels of leg,,,,,,,,,,,,
"Blood vessels at ankle and foot level.,",Blood vessel of ankle,Blood vessel of foot,,,,,,,,,,,,,
"Blood vessels at forearm level,",Blood vessels of forearm,,,,,,,,,,,,,,
"Blood vessels at hip and thigh level,",Blood vessel of hip,Blood vessel of thigh,,,,,,,,,,,,,
"Blood vessels at hip and thigh level, left leg.,",Blood vessel of hip,Blood vessel of thigh,Blood vessels of leg,,,,,,,,,,,,
"Blood vessels at hip and thigh level, right leg.,",Blood vessel of hip,Blood vessel of thigh,Blood vessels of leg,,,,,,,,,,,,
"Blood vessels at lower leg level,",Blood vessels of lower leg,,,,,,,,,,,,,,
"Blood vessels at shoulder and upper arm level,",Blood vessels of shoulder,Blood vessels of upper arm,,,,,,,,,,,,,
"Blood vessels at shoulder and upper arm level.,",Blood vessels of shoulder,Blood vessels of upper arm,,,,,,,,,,,,,
"Blood vessels at wrist and hand level of left arm.,",blood vessel of hand,blood vessel of arm,,,,,,,,,,,,,
"Blood vessels at wrist and hand level of right arm.,",blood vessel of hand,blood vessel of arm,,,,,,,,,,,,,
"Blood vessels at wrist and hand level of unspecified arm,",blood vessel of hand,blood vessel of arm,,,,,,,,,,,,,
"Blood vessels at wrist and hand level of unspecified arm.,",blood vessel of hand,blood vessel of arm,,,,,,,,,,,,,
"Blood vessels in abdomen, lower back, and pelvis.,",Blood vessels of abdomen,Blood vessels of lower back,Blood vessels of pelvis,,,,,,,,,,,,
"Blood vessels of the thorax,",Blood vessels of thorax,,,,,,,,,,,,,,
"Blood vessels of thorax,",Blood vessels of thorax,,,,,,,,,,,,,,
"Blood vessels of thorax, right side,",Blood vessels of thorax,Blood vessels of right side,,,,,,,,,,,,,
"Blood vessels.,",Blood vessels,,,,,,,,,,,,,,
"Blood.,",Blood,,,,,,,,,,,,,,
"Bloodstream,",blood vessels,,,,,,,,,,,,,,
"Body - Abdomen,",Abdomen,,,,,,,,,,,,,,
"Body - Spine (vertebrae),",Spinal Cord,,,,,,,,,,,,,,
"Spine (vertebrae),",Spinal Cord,,,,,,,,,,,,,,
"Blood,",Blood,,,,,,,,,,,,,,
"Head,",skull,,,,,,,,,,,,,,
"Hip,",Hips,,,,,,,,,,,,,,
"Limb,",Limb,,,,,,,,,,,,,,
"Other specified parts of head,",skull,,,,,,,,,,,,,,
"Skull,",skull,,,,,,,,,,,,,,
"Abdomen,",Abdomen,,,,,,,,,,,,,,
"Eye,",eye,,,,,,,,,,,,,,
"Head,",skull,,,,,,,,,,,,,,
"Lower leg,",legs,,,,,,,,,,,,,,
"Pelvis,",Pelvis,,,,,,,,,,,,,,
"Respiratory system,",Nose,Mouth,Pharynx,Larynx,Trachea,Bronchi,Bronchioles,lungs,Alveoli,Diaphragm,,,,,
"Skin,",Skin,,,,,,,,,,,,,,
"Skull,",Skull,,,,,,,,,,,,,,
"Unspecified part of back,",back,,,,,,,,,,,,,,
"Unspecified part of head,",skull,,,,,,,,,,,,,,
"Unspecified snakebite of the right hand, subsequent encounter.,",muscles of hand,,,,,,,,,,,,,,
"Upper limb,",Upper limb,,,,,,,,,,,,,,
"Body: Lungs,",lungs,,,,,,,,,,,,,,
"Bone (Marrows),",Bone Marrow,,,,,,,,,,,,,,
"Bone (Pelvis),",Bone (Pelvis),,,,,,,,,,,,,,
"Bone (Skull, Spine (vertebrae)),",Skull,Spinal Cord,,,,,,,,,,,,,
"Bone (Spine (vertebrae)),",Spinal Cord,,,,,,,,,,,,,,
"Bone Marrow,",Bone Marrow,,,,,,,,,,,,,,
"Bone marrow,",Bone marrow,,,,,,,,,,,,,,
"Bone: Spine (vertebrae),",Spinal Cord,,,,,,,,,,,,,,
"Bones (Femur),",Femur,,,,,,,,,,,,,,
"Bones (Femur, Tibia, Humerus, Pelvis, Ribs, Skull, Spine (vertebrae)),",Femur,Tibia,Humerus,Pelvis,Ribs,Skull,Spinal Cord,,,,,,,,
"Bones (Humerus),",Humerus,,,,,,,,,,,,,,
"Bones (Legs),",legs,,,,,,,,,,,,,,
"Bones (Limb),",limb,,,,,,,,,,,,,,
"Bones (Long Bones),",long bone,,,,,,,,,,,,,,
"Bones (Metacarpal),",Metacarpal,,,,,,,,,,,,,,
"Bones (Phalanx),",Phalanx,,,,,,,,,,,,,,
"Bones (Skull),",Skull,,,,,,,,,,,,,,
"Bones (Skull, Long bones),",Skull,long bone,,,,,,,,,,,,,
"Bones (Skull, Mandible, Ribs, Vertebrae),",Skull,Mandibular,Ribs,Spinal Cord,,,,,,,,,,,
"Bones (Skull, Ribs, Spine (vertebrae)),",Skull,Ribs,Spinal Cord,,,,,,,,,,,,
"Bones (Skull, Spine (vertebrae)),",Skull,Spinal Cord,,,,,,,,,,,,,
"Bones (Skull, Tibia, Humerus),",Skull,Tibia,Humerus,,,,,,,,,,,,
"Bones (Spine (vertebrae)),",Spinal Cord,,,,,,,,,,,,,,
"Bones (Spine),",Spinal Cord,,,,,,,,,,,,,,
"Bones (Spine, Ribs, Pelvis),",Spinal Cord,Ribs,Pelvis),,,,,,,,,,,,
"Bones (Tibia),",tibia,,,,,,,,,,,,,,
"Bones (Tibia, Femur, Humerus, Pelvis, Ribs, Skull, Spine (vertebrae)),",tibia,Femur,Humerus,Pelvis,Ribs,Skull,Spinal Cord,,,,,,,,
"Bones (e.g., Tibia, Femur, Humerus, Pelvis, Ribs, Skull, Spine (vertebrae)),",Tibia,Femur,Humerus,Pelvis,Ribs,Skull,Spinal Cord,,,,,,,,
"Bones (specifically Tibia),",tibia,,,,,,,,,,,,,,
"Bones (specifically Tibia, Femur, Humerus, Pelvis, Ribs, Skull, Spine (vertebrae)),",tibia,Femur,Humerus,Pelvis,Ribs,Skull,Spinal Cord,,,,,,,,
"Bones (specifically the affected bone): Vertebral Column,",Spinal Cord,,,,,,,,,,,,,,
"Bones (specifically the long bones such as the upper arms and thighs),",long bone,,,,,,,,,,,,,,
"Bones - Ribs,",Ribs,,,,,,,,,,,,,,
"Bones: Other specified parts of femur,",femur,,,,,,,,,,,,,,
"Bony Thorax,",Thorax,,,,,,,,,,,,,,
"Bowel,",Bowel,,,,,,,,,,,,,,
"Brachial artery,",Brachial artery,,,,,,,,,,,,,,
"Brain,",Brain,,,,,,,,,,,,,,
"Brain and Spinal Cord,",Brain,Spinal Cord,,,,,,,,,,,,,
"Brain stem,",Brain,,,,,,,,,,,,,,
"Brain.,",Brain,,,,,,,,,,,,,,
"Brainstem,",Brain,,,,,,,,,,,,,,
"Breast,",Breasts,,,,,,,,,,,,,,
"Breast.,",Breasts,,,,,,,,,,,,,,
"Breasts,",Breasts,,,,,,,,,,,,,,
"Breasts and Nipples,",Breasts,,,,,,,,,,,,,,
"Broad Ligament,",Broad Ligament,,,,,,,,,,,,,,
"Broad ligament,",Broad ligament,,,,,,,,,,,,,,
"Bronchi,",Bronchi,,,,,,,,,,,,,,
"Bronchus,",Bronchioles,,,,,,,,,,,,,,
"Bronchus and Lung,",lungs,Bronchioles,,,,,,,,,,,,,
"Bronchus.,",Bronchioles,,,,,,,,,,,,,,
"Buccal mucosa,",Buccal mucosa,,,,,,,,,,,,,,
"Bulbar region,",Bulbar region,,,,,,,,,,,,,,
"Bursa,",Bursa,,,,,,,,,,,,,,
"Bursae,",Bursae,,,,,,,,,,,,,,
"Buttock,",Buttock,,,,,,,,,,,,,,
"Buttocks,",Buttock,,,,,,,,,,,,,,
"Calcaneus,",Calcaneus,,,,,,,,,,,,,,
"Calf,",Calf,,,,,,,,,,,,,,
"Capillaries,",Capillaries,,,,,,,,,,,,,,
"Cardiac Device,",Cardiac Device,,,,,,,,,,,,,,
"Cardiac Prosthetic Devices,",Cardiac Prosthetic Devices,,,,,,,,,,,,,,
"Cardiac Prosthetic Devices, Implants and Grafts - Heart,",Cardiac Prosthetic Devices,heart,,,,,,,,,,,,,
"Cardiac System,",heart,,,,,,,,,,,,,,
"Cardiac Valve,",heart,,,,,,,,,,,,,,
"Cardiac Ventricle,",heart,,,,,,,,,,,,,,
"Cardiac muscles,",heart,,,,,,,,,,,,,,
"Cardiac prosthetic devices, implants and grafts - Heart,",heart,,,,,,,,,,,,,,
"Cardiac prosthetic devices, implants, and grafts - Chest,",Chest,,,,,,,,,,,,,,
"Cardiac system,",heart,,,,,,,,,,,,,,
"Cardiac valve,",heart,,,,,,,,,,,,,,
"Cardiac valve.,",heart,,,,,,,,,,,,,,
"Cardiorespiratory system,",heart,,,,,,,,,,,,,,
"Cardiovascular System,",heart,,,,,,,,,,,,,,
"Cardiovascular system,",heart,,,,,,,,,,,,,,
"Cardiovascular system.,",heart,,,,,,,,,,,,,,
"Carotid Arterial Graft,",heart,,,,,,,,,,,,,,
"Carotid Arteries,",heart,,,,,,,,,,,,,,
"Carotid Artery,",heart,,,,,,,,,,,,,,
"Carotid Artery.,",heart,,,,,,,,,,,,,,
"Carotid artery,",heart,,,,,,,,,,,,,,
"Carotid artery.,",heart,,,,,,,,,,,,,,
"Carotid body,",heart,,,,,,,,,,,,,,
"Carpometacarpal joint,",Metacarpal,,,,,,,,,,,,,,
"Carpus,",Carpus,,,,,,,,,,,,,,
"Cartilage,",Cartilage,,,,,,,,,,,,,,
"Catheter,",Catheter,,,,,,,,,,,,,,
"Cecum,",Cecum,,,,,,,,,,,,,,
"Celiac artery,",Celiac artery,,,,,,,,,,,,,,
"Cell Wall,",Cell Wall,,,,,,,,,,,,,,
"Cells,",Cells,,,,,,,,,,,,,,
"Central Nervous System,",Brain,Spinal Cord,,,,,,,,,,,,,
"Central Nervous System.,",Brain,Spinal Cord,,,,,,,,,,,,,
"Central Venous Catheter,",Catheter,,,,,,,,,,,,,,
"Central nervous system,",Brain,Spinal Cord,,,,,,,,,,,,,
"Central nervous system.,",Brain,Spinal Cord,,,,,,,,,,,,,
"Central venous catheter,",Catheter,,,,,,,,,,,,,,
"Cerebellar.,",Cerebellar,,,,,,,,,,,,,,
"Cerebellum,",Cerebellum,,,,,,,,,,,,,,
"Cerebrospinal fluid,",Spinal Cord,,,,,,,,,,,,,,
"Cerebrum,",Cerebrum,,,,,,,,,,,,,,
"Cervical Spinal Cord,",Spinal Cord,,,,,,,,,,,,,,
"Cervical Spine,",Spinal Cord,,,,,,,,,,,,,,
"Cervical Spine (vertebrae),",Spinal Cord,,,,,,,,,,,,,,
"Cervical and thoracic spine.,",Spinal Cord,,,,,,,,,,,,,,
"Cervical region,",Cervical region,,,,,,,,,,,,,,
"Cervical region.,",Cervical region,,,,,,,,,,,,,,
"Cervical spinal cord,",spinal cord,,,,,,,,,,,,,,
"Cervical spinal cord (C1-C4),",spinal cord,,,,,,,,,,,,,,
"Cervical spinal cord.,",spinal cord,,,,,,,,,,,,,,
"Cervical spine,",Spinal Cord,,,,,,,,,,,,,,
"Cervical spine (vertebrae),",Spinal Cord,,,,,,,,,,,,,,
"Cervical trachea,",Trachea,,,,,,,,,,,,,,
"Cervical vertebra (neck),",Spinal Cord,,,,,,,,,,,,,,
"Cervical vertebrae,",Spinal Cord,,,,,,,,,,,,,,
"Cervical vertebrae.,",Spinal Cord,,,,,,,,,,,,,,
"Cervicothoracic region,",Cervicothoracic region,,,,,,,,,,,,,,
"Cervix,",cervix,,,,,,,,,,,,,,
"Cervix uteri,",cervix,,,,,,,,,,,,,,
"Cheek,",Cheek,,,,,,,,,,,,,,
"Cheek and Temporomandibular Area,",Mandibular,,,,,,,,,,,,,,
"Cheek and Temporomandibular Joint,",Mandibular,,,,,,,,,,,,,,
"Cheek and lip biting - Cheeks and Lips,",Cheek,lips,,,,,,,,,,,,,
"Cheek and temporomandibular area,",Mandibular,,,,,,,,,,,,,,
"Cheek and temporomandibular area.,",Mandibular,,,,,,,,,,,,,,
"Cheek and temporomandibular joint,",Mandibular,,,,,,,,,,,,,,
"Cheek and temporomandibular joint.,",Mandibular,,,,,,,,,,,,,,
"Cheek, Temporomandibular Joint,",Cheek,Mandibular,,,,,,,,,,,,,
"Chest,",Chest,,,,,,,,,,,,,,
"Chest Wall,",Chest,,,,,,,,,,,,,,
"Chest and Ribs,",Chest,Ribs,,,,,,,,,,,,,
"Chin,",Chin,,,,,,,,,,,,,,
"Chondrosternal joint,",Chondrosternal joint,,,,,,,,,,,,,,
"Choroid,",Choroid,,,,,,,,,,,,,,
"Ciliary body,",Ciliary body,,,,,,,,,,,,,,
"Circulatory System,",Heart,Blood Vessels,Blood,lymph nodes,,,,,,,,,,,
"Circulatory and respiratory systems,",Heart,Blood Vessels,Blood,lymph nodes,Nose,Mouth,Pharynx,Larynx,Trachea,Bronchi,Bronchioles,lungs,Alveoli,Diaphragm,
"Circulatory system,",Heart,Blood Vessels,Blood,lymph nodes,,,,,,,,,,,
"Circulatory system organ,",Heart,Blood Vessels,Blood,lymph nodes,,,,,,,,,,,
"Circulatory system organ or structure,",Heart,Blood Vessels,Blood,lymph nodes,,,,,,,,,,,
"Circulatory system.,",Heart,Blood Vessels,Blood,lymph nodes,,,,,,,,,,,
"Clavicle,",Clavicle,,,,,,,,,,,,,,
"Clitoris,",Clitoris,,,,,,,,,,,,,,
"Coccyx,",Coccyx,,,,,,,,,,,,,,
"Colon,",Colon,,,,,,,,,,,,,,
"Conjunctiva,",Conjunctiva,,,,,,,,,,,,,,
"Conjunctival sac, right eye,",Conjunctiva,eye,,,,,,,,,,,,,
"Connective Tissue,",Connective Tissue,,,,,,,,,,,,,,
"Connective and Soft Tissue,",Connective Tissue,,,,,,,,,,,,,,
"Connective and other soft tissue,",Connective Tissue,,,,,,,,,,,,,,
"Connective tissue,",Connective Tissue,,,,,,,,,,,,,,
"Cord,",Cord,,,,,,,,,,,,,,
"Cornea,",Cornea,,,,,,,,,,,,,,
"Cornea and Conjunctival sac,",Cornea,Conjunctiva,,,,,,,,,,,,,
"Cornea and conjunctival sac, right eye,",Cornea,eye,Conjunctiva,,,,,,,,,,,,
"Cornea, left eye,",Cornea,eye,,,,,,,,,,,,,
"Cornea, left eye.,",Cornea,eye,,,,,,,,,,,,,
"Cornea, right eye,",Cornea,eye,,,,,,,,,,,,,
"Cornea, right eye.,",Cornea,eye,,,,,,,,,,,,,
"Cornea.,",Cornea,,,,,,,,,,,,,,
"Coronary Arteries,",Coronary Arteries,,,,,,,,,,,,,,
"Coronary Artery,",Coronary Arteries,,,,,,,,,,,,,,
"Coronary Artery.,",Coronary Arteries,,,,,,,,,,,,,,
"Coronary arteries,",Coronary Arteries,,,,,,,,,,,,,,
"Coronary artery,",Coronary Arteries,,,,,,,,,,,,,,
"Coronary artery of transplanted heart,",heart,,,,,,,,,,,,,,
"Coronary artery.,",Coronary Arteries,,,,,,,,,,,,,,
"Coronoid process of left ulna,",ulna,,,,,,,,,,,,,,
"Corpus uteri,",Corpus uteri,,,,,,,,,,,,,,
"Cranial or spinal infusion catheter,",Catheter,,,,,,,,,,,,,,
"Cuboid bone of left foot,",Cuboid bone,,,,,,,,,,,,,,
"Cuboid bone of left foot.,",Cuboid bone,,,,,,,,,,,,,,
"Cuboid bone of right foot,",Cuboid bone,,,,,,,,,,,,,,
"Cuboid bone of the foot,",Cuboid bone,,,,,,,,,,,,,,
"Cuboid bone of unspecified foot,",Cuboid bone,,,,,,,,,,,,,,
"Descending colon,",Colon,,,,,,,,,,,,,,
"Diaphragm,",Diaphragm,,,,,,,,,,,,,,
"Diaphragm.,",Diaphragm,,,,,,,,,,,,,,
"Digestive System,",Mouth,esophagus,stomach,small intestine,large intestine,rectum,anus,,,,,,,,
"Digestive System.,",Mouth,esophagus,stomach,small intestine,large intestine,rectum,anus,,,,,,,,
"Digestive Tract,",Mouth,esophagus,stomach,small intestine,large intestine,rectum,anus,,,,,,,,
"Digestive organ,",Mouth,esophagus,stomach,small intestine,large intestine,rectum,anus,,,,,,,,
"Digestive organ.,",Mouth,esophagus,stomach,small intestine,large intestine,rectum,anus,,,,,,,,
"Digestive organs,",Mouth,esophagus,stomach,small intestine,large intestine,rectum,anus,,,,,,,,
